match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Sri Lanka vs South Africa,Sri Lanka,10,Matheesha Pathirana,c Markram b Rabada,0,4,8,0,0,0.00
Sri Lanka vs South Africa,South Africa,1,Quinton de Kock,c & b Hasaranga,20,27,54,0,1,74.07
Sri Lanka vs South Africa,South Africa,2,Reeza Hendricks,c PHKD Mendis b Thushara,4,2,8,1,0,200.00
Sri Lanka vs South Africa,South Africa,3,Aiden Markram,c PHKD Mendis b Shanaka,12,14,14,0,1,85.71
Sri Lanka vs South Africa,South Africa,4,Tristan Stubbs,c Asalanka b Hasaranga,13,28,39,0,0,46.42
Sri Lanka vs South Africa,South Africa,5,Heinrich Klaasen,,19,22,22,1,1,86.36
Sri Lanka vs South Africa,South Africa,6,David Miller,,6,6,13,1,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
U.S.A. vs Canada,Canada,1,Aaron Johnson,c Kumar b Harmeet Singh,23,16,24,5,0,143.75
U.S.A. vs Canada,Canada,2,Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,62,6,3,138.63
U.S.A. vs Canada,Canada,3,Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,12,0,0,71.42
U.S.A. vs Canada,Canada,4,Nicholas Kirton,c Anderson b Ali Khan,51,31,43,3,2,164.51
U.S.A. vs Canada,Canada,5,Shreyas Movva,,32,16,29,2,2,200.00
U.S.A. vs Canada,Canada,6,Dilpreet Bajwa,run out (Taylor/†Patel),11,5,5,1,1,220.00
U.S.A. vs Canada,Canada,7,Dilon Heyliger,,1,1,4,0,0,100.00
U.S.A. vs Canada,United States of America,1,Steven Taylor,lbw b Kaleem Sana,0,2,2,0,0,0.00
U.S.A. vs Canada,United States of America,2,Monank Patel,c †Movva b Heyliger,16,16,33,2,0,100.00
U.S.A. vs Canada,United States of America,3,Andries Gous,c Johnson b Dutta,65,46,76,7,3,141.30
U.S.A. vs Canada,United States of America,4,Aaron Jones,,94,40,56,4,10,235.00
U.S.A. vs Canada,United States of America,5,Corey Anderson,,3,5,8,0,0,60.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs P.N.G.,Papua New Guinea,1,Tony Ura,c †Pooran b Shepherd,2,5,7,0,0,40.00
West Indies vs P.N.G.,Papua New Guinea,2,Assad Vala,c Chase b Joseph,21,22,26,2,1,95.45
West Indies vs P.N.G.,Papua New Guinea,3,Lega Siaka, b Hosein,1,2,2,0,0,50.00
West Indies vs P.N.G.,Papua New Guinea,4,Sese Bau, b Joseph,50,43,55,6,1,116.27
West Indies vs P.N.G.,Papua New Guinea,5,Hiri Hiri,c Powell b Motie,2,6,10,0,0,33.33
West Indies vs P.N.G.,Papua New Guinea,6,Charles Amini,c †Pooran b Russell,12,14,22,0,0,85.71
West Indies vs P.N.G.,Papua New Guinea,7,Kiplin Doriga,,27,18,23,3,0,150.00
West Indies vs P.N.G.,Papua New Guinea,8,Chad Soper, b Russell,10,9,10,1,0,111.11
West Indies vs P.N.G.,Papua New Guinea,9,Alei Nao,run out (Joseph),0,0,2,0,0,-
West Indies vs P.N.G.,Papua New Guinea,10,Kabua Morea,,2,2,3,0,0,100.00
West Indies vs P.N.G.,West Indies,1,Brandon King,c Siaka b Vala,34,29,44,7,0,117.24
West Indies vs P.N.G.,West Indies,2,Johnson Charles,lbw b Nao,0,1,6,0,0,0.00
West Indies vs P.N.G.,West Indies,3,Nicholas Pooran,c Ura b Kariko,27,27,30,1,2,100.00
West Indies vs P.N.G.,West Indies,4,Roston Chase,,42,27,39,4,2,155.55
West Indies vs P.N.G.,West Indies,5,Rovman Powell,c †Doriga b Soper,15,14,14,2,0,107.14
West Indies vs P.N.G.,West Indies,6,Sherfane Rutherford,c †Doriga b Vala,2,7,6,0,0,28.57
West Indies vs P.N.G.,West Indies,7,Andre Russell,,15,9,11,0,1,166.66
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Oman vs Namibia,Oman,1,Kashyap Prajapati,lbw b Trumpelmann,0,1,1,0,0,0.00
Oman vs Namibia,Oman,2,Naseem Khushi,c Erasmus b Trumpelmann,6,6,16,1,0,100.00
Oman vs Namibia,Oman,3,Aqib Ilyas,lbw b Trumpelmann,0,1,2,0,0,0.00
Oman vs Namibia,Oman,4,Zeeshan Maqsood,lbw b Scholtz,22,20,29,4,0,110.00
Oman vs Namibia,Oman,5,Khalid Kail,c & b Wiese,34,39,56,1,1,87.17
Oman vs Namibia,Oman,6,Ayaan Khan,c Frylinck b Erasmus,15,21,16,0,1,71.42
Oman vs Namibia,Oman,7,Mohammad Nadeem,lbw b Erasmus,6,10,10,0,0,60.00
Oman vs Namibia,Oman,8,Mehran Khan,lbw b Wiese,7,8,12,1,0,87.50
Oman vs Namibia,Oman,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,13,2,0,122.22
Oman vs Namibia,Oman,10,Kaleemullah,lbw b Trumpelmann,2,3,4,0,0,66.66
Oman vs Namibia,Namibia,1,Michael van Lingen, b Bilal Khan,0,2,1,0,0,0.00
Oman vs Namibia,Namibia,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,35,2,1,77.41
Oman vs Namibia,Namibia,3,Jan Frylinck, b Mehran Khan,45,48,77,6,0,93.75
Oman vs Namibia,Namibia,4,Gerhard Erasmus,c Zeeshan Maqsood b Ayaan Khan,13,16,19,1,0,81.25
Oman vs Namibia,Namibia,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,13,1,0,66.66
Oman vs Namibia,Namibia,6,David Wiese,,9,8,15,0,1,112.50
Oman vs Namibia,Namibia,7,Zane Green,lbw b Mehran Khan,0,2,2,0,0,0.00
Oman vs Namibia,Namibia,8,Malan Kruger,,1,1,3,0,0,100.00
