match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
South Africa vs England,South Africa,1,Reeza Hendricks,c Brook b Ali,19,25,41,1,0,76.00
South Africa vs England,South Africa,2,Quinton de Kock,c †Buttler b Archer,65,38,50,4,4,171.05
South Africa vs England,South Africa,3,Heinrich Klaasen,run out (†Buttler),8,13,21,1,0,61.53
South Africa vs England,South Africa,4,David Miller,c Brook b Archer,43,28,40,4,2,153.57
South Africa vs England,South Africa,5,Aiden Markram, b Rashid,1,2,4,0,0,50.00
South Africa vs England,South Africa,6,Tristan Stubbs,,12,11,28,1,0,109.09
South Africa vs England,South Africa,7,Marco Jansen,c Curran b Archer,0,1,1,0,0,0.00
South Africa vs England,South Africa,8,Keshav Maharaj,,5,2,3,1,0,250.00
South Africa vs England,England,1,Phil Salt,c Hendricks b Rabada,11,8,8,1,1,137.50
South Africa vs England,England,2,Jos Buttler,c Klaasen b Maharaj,17,20,38,1,0,85.00
South Africa vs England,England,3,Jonny Bairstow,c Nortje b Maharaj,16,20,20,1,0,80.00
South Africa vs England,England,4,Moeen Ali,c Maharaj b Baartman,9,10,15,0,0,90.00
South Africa vs England,England,5,Harry Brook,c Markram b Nortje,53,37,50,7,0,143.24
South Africa vs England,England,6,Liam Livingstone,c Stubbs b Rabada,33,17,33,3,2,194.11
South Africa vs England,England,7,Sam Curran,,10,7,14,1,0,142.85
South Africa vs England,England,8,Jofra Archer,,1,2,4,0,0,50.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Bangladesh vs Australia,Bangladesh,1,Tanzid Hasan, b Starc,0,3,2,0,0,0.00
Bangladesh vs Australia,Bangladesh,2,Litton Das, b Zampa,16,25,42,2,0,64.00
Bangladesh vs Australia,Bangladesh,3,Najmul Hossain Shanto,lbw b Zampa,41,36,57,5,1,113.88
Bangladesh vs Australia,Bangladesh,4,Rishad Hossain,c Zampa b Maxwell,2,4,5,0,0,50.00
Bangladesh vs Australia,Bangladesh,5,Towhid Hridoy,c Hazlewood b Cummins,40,28,40,2,2,142.85
Bangladesh vs Australia,Bangladesh,6,Shakib Al Hasan,c & b Stoinis,8,10,27,0,0,80.00
Bangladesh vs Australia,Bangladesh,7,Mahmudullah, b Cummins,2,3,7,0,0,66.66
Bangladesh vs Australia,Bangladesh,8,Mahedi Hasan,c Zampa b Cummins,0,1,1,0,0,0.00
Bangladesh vs Australia,Bangladesh,9,Taskin Ahmed,,13,7,9,1,0,185.71
Bangladesh vs Australia,Bangladesh,10,Tanzim Hasan Sakib,,4,3,3,0,0,133.33
Bangladesh vs Australia,Australia,1,David Warner,,53,35,52,5,3,151.42
Bangladesh vs Australia,Australia,2,Travis Head, b Rishad Hossain,31,21,30,3,2,147.61
Bangladesh vs Australia,Australia,3,Mitchell Marsh,lbw b Rishad Hossain,1,6,8,0,0,16.66
Bangladesh vs Australia,Australia,4,Glenn Maxwell,,14,6,12,1,1,233.33
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs U.S.A.,United States of America,1,Steven Taylor,c Chase b Russell,2,7,5,0,0,28.57
West Indies vs U.S.A.,United States of America,2,Andries Gous,c Hope b Joseph,29,16,37,3,1,181.25
West Indies vs U.S.A.,United States of America,3,Nitish Kumar,lbw b Motie,20,19,23,2,0,105.26
West Indies vs U.S.A.,United States of America,4,Aaron Jones, b Chase,11,11,12,0,1,100.00
West Indies vs U.S.A.,United States of America,5,Corey Anderson,lbw b Chase,7,15,23,0,0,46.66
West Indies vs U.S.A.,United States of America,6,Milind Kumar,run out (Motie/Russell),19,21,35,1,0,90.47
West Indies vs U.S.A.,United States of America,7,Harmeet Singh,c Charles b Chase,0,1,1,0,0,0.00
West Indies vs U.S.A.,United States of America,8,Shadley van Schalkwyk,c Charles b Russell,18,17,17,3,0,105.88
West Indies vs U.S.A.,United States of America,9,Nosthush Kenjige,c †Pooran b Joseph,1,3,8,0,0,33.33
West Indies vs U.S.A.,United States of America,10,Ali Khan,,14,6,11,1,1,233.33
West Indies vs U.S.A.,West Indies,1,Shai Hope,,82,39,-,4,8,210.25
West Indies vs U.S.A.,West Indies,2,Johnson Charles,c Milind Kumar b Harmeet Singh,15,14,-,2,0,107.14
West Indies vs U.S.A.,West Indies,3,Nicholas Pooran,,27,12,-,1,3,225.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs Afghanistan,India,1,Rohit Sharma,c Rashid Khan b Fazalhaq Farooqi,8,13,13,1,0,61.53
India vs Afghanistan,India,2,Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,41,0,1,100.00
India vs Afghanistan,India,3,Rishabh Pant,lbw b Rashid Khan,20,11,20,4,0,181.81
India vs Afghanistan,India,4,Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,51,5,3,189.28
India vs Afghanistan,India,5,Shivam Dube,lbw b Rashid Khan,10,7,11,0,1,142.85
India vs Afghanistan,India,6,Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,40,3,2,133.33
India vs Afghanistan,India,7,Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,11,1,0,140.00
India vs Afghanistan,India,8,Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,11,2,0,200.00
India vs Afghanistan,India,9,Arshdeep Singh,,2,2,8,0,0,100.00
India vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,c †Pant b Bumrah,11,8,7,1,1,137.50
India vs Afghanistan,Afghanistan,2,Hazratullah Zazai,c Jadeja b Bumrah,2,4,20,0,0,50.00
India vs Afghanistan,Afghanistan,3,Ibrahim Zadran,c Sharma b Patel,8,11,9,1,0,72.72
India vs Afghanistan,Afghanistan,4,Gulbadin Naib,c †Pant b Kuldeep Yadav,17,21,25,1,1,80.95
India vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,c Patel b Jadeja,26,20,26,2,1,130.00
India vs Afghanistan,Afghanistan,6,Najibullah Zadran,c Arshdeep Singh b Bumrah,19,17,22,0,2,111.76
India vs Afghanistan,Afghanistan,7,Mohammad Nabi,c Jadeja b Kuldeep Yadav,14,14,24,0,1,100.00
India vs Afghanistan,Afghanistan,8,Rashid Khan,c Jadeja b Arshdeep Singh,2,6,11,0,0,33.33
India vs Afghanistan,Afghanistan,9,Noor Ahmad,c Sharma b Arshdeep Singh,12,18,19,1,1,66.66
